#t_ns,in_ts
7709203320215,73438992049958
7709236609615,73439020210628
7709269898015,73439057494818
7709303188515,73439091087868
7709336478515,73439124314387
7709369769215,73439157966302
7709403056915,73439190822803
7709436344815,73439224563954
7709469635515,73439257906897
7709502923715,73439290939980
7709536213015,73439324875360
7709569504215,73439357658713
7709602792515,73439391370802
7709636081415,73439424728364
7709669377415,73439458486961
7709702661715,73439491857590
7709735949015,73439525536112
7709769245915,73439558643505
7709802528515,73439592111681
7709835850615,73439625978708
7709869113415,73439658767555
7709902417115,73439693055340
7709935687315,73439725712045
7709968976315,73439759128612
7710002264115,73439792703302
7710035555015,73439825930552
7710068845415,73439858934365
7710102132515,73439892779947
7710135423215,73439925351814
7710168711715,73439958943268
7710202001715,73439988710472
7710235290715,73440026391266
7710268580115,73440059016608
7710301871015,73440092190214
7710335160115,73440125971109
7710368447715,73440158356749
7710401743915,73440191896749
7710435027615,73440225215641
7710468315515,73440258997195
7710501612015,73440291868495
7710534896115,73440325797480
7710568184915,73440358662192
7710601481115,73440392134822
7710634762615,73440425248847
7710668053115,73440458531411
7710701356715,73440492342085
7710734631415,73440525409353
7710767921415,73440558311058
7710801229115,73440592164512
7710834499115,73440625634179
7710867789515,73440659064646
7710901079115,73440691708616
7710934367915,73440725131231
7710967657215,73440758163938
7711000945815,73440791955196
7711034237715,73440825311208
7711067524915,73440858242006
7711100814315,73440891788135
7711134110015,73440924780336
7711167444615,73440958136052
7711200682015,73440991207324
7711233978415,73441025388242
7711267262115,73441058141646
7711300551715,73441092136578
7711333846915,73441126170185
7711367129015,73441158792102
7711400420215,73441193037406
7711433716215,73441225854138
7711466997115,73441258236348
7711500287715,73441291827578
7711533576815,73441325406041
7711566865415,73441359137997
7711600155415,73441392500805
7711633445415,73441426049580
7711666734815,73441459538625
7711700023715,73441492660300
7711733312315,73441525598642
7711766605615,73441559308926
7711799891315,73441592835831
7711833180415,73441625782672
7711866476615,73441659396558
7711899759915,73441692527528
7711933048415,73441725598249
7711966344515,73441759125437
7711999630115,73441791859942
7712032936115,73441825054570
7712066213615,73441859120254
7712099495615,73441891453927
7712132791715,73441925107947
7712166074215,73441958741554
7712199363615,73441991835854
7712232653615,73442024875667
7712265944615,73442058719189
7712299232115,73442092114294
7712332522415,73442125478267
7712365812315,73442158865313
7712399099815,73442192485828
7712432389915,73442225456743
7712465680115,73442258994195
7712498999915,73442292652726
7712532257615,73442326040659
7712565546615,73442358848758
7712598842715,73442391986442
7712632127115,73442425803735
7712665415415,73442458559398
7712698710815,73442491876105
7712731995515,73442525726628
7712765283115,73442558971816
7712798579815,73442592760823
7712831869615,73442626051655
7712865152015,73442659633862
7712898441515,73442692436689
7712931730115,73442719875501
7712965020615,73442758912848
7712998310315,73442792492677
7713031598115,73442825879340
7713064888515,73442858756780
7713098178115,73442892091259
7713131466415,73442925371089
7713164756315,73442959097090
7713198045915,73442992874777
